Source	Target	DatSemShifts	CLIPS_Languages	CLIPS_Families	PolysemyDSS	PolysemyCLIPS_Languages	PolysemyCLIPS_Families
TURN (SOMETHING)	RULE	1	0	0	0	0	0
UNDERSTAND	OBEY	1	1	1	0	6	5
UNRIPE	YOUNG	7	0	0	0	4	4
UNTIE	EXPLAIN	6	3	2	0	3	2
UNTIE	FORGIVE	1	1	1	0	1	1
WALK	DWELL (LIVE, RESIDE)	1	0	0	0	0	0
WANT	HUNT	4	0	0	0	0	0
WANT	THING	2	1	1	0	0	0
WATER	WEDNESDAY	1	0	0	0	0	0
WEAK	BAD	6	1	1	0	2	1
WEAK	POOR	3	1	1	0	1	1
WEAK	SLOW	1	0	0	0	0	0
WEAK	STUPID	6	0	0	0	0	0
WET	GOOD	3	0	0	0	0	0
WET	WARM	1	0	0	0	0	0
WET	WEAK	3	0	0	0	0	0
WHALE	BIG	1	0	0	0	0	0
WHEN	IF	4	1	1	0	0	0
WHITE	BEAUTIFUL	1	0	0	0	0	0
WHITE	EMPTY	3	0	0	0	0	0
WHITE	INNOCENT	2	0	0	0	0	0
WHITE	WHEAT	2	4	3	0	0	0
WIND	ANGER	1	0	0	0	0	0
WIND	SAILCLOTH	6	4	2	0	0	0
WIND	SOUL	2	0	0	0	2	2
WIND	WINDOW	3	0	0	0	0	0
WING	DEFEND	1	0	0	0	0	0
WING	FIN	19	52	12	0	0	0
WING	OAR	1	0	0	0	0	0
WING	SAILCLOTH	2	0	0	0	0	0
WING	SIDE	2	0	0	0	0	0
WINTER	COLD	2	1	1	0	4	4
WINTER	FOG	5	0	0	0	0	0
WINTER	NORTH	3	0	0	0	0	0
WINTER	YEAR	6	2	2	0	0	0
WOMAN	WIFE	29	11	10	0	89	19
WOMB	INSIDE	1	1	1	0	3	3
WOMB	RELATIVES	1	0	0	0	0	0
WORD	THING	6	0	0	0	0	0
WORK (LABOUR)	THING	1	1	1	0	0	0
WORM	ANT	1	0	0	0	0	0
WORM	RED	2	0	0	0	0	0
WRITE	LEARN	1	1	1	0	0	0
YAM	POTATO	2	1	1	0	0	0
YAM	SWEET POTATO	2	3	3	0	0	0
YOUNG	BRAVE	2	0	0	0	0	0
YOUNG	HUSBAND	1	0	0	0	0	0
YOUNG MAN	SOLDIER	3	0	0	0	0	0
