Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	EGG	TESTICLES	1	1	12	2	8	0
2	SUN	CLOCK	1	1	10	0	7	0
3	CLOUD	SKY	-1	1	2	14	2	1
4	LAND	FLOOR	1	1	6	4	2	0
5	EARTH (SOIL)	COUNTRY	1	1	5	2	12	0
6	NOSE	CAPE	1	1	5	0	4	0
7	NOSE	NOSTRIL	1	1	37	0	4	0
8	NOSE	BEAK	1	1	4	0	4	0
9	TREE	PLANT (VEGETATION)	-1	1	5	6	6	0
10	SKY	WEATHER	1	1	5	2	2	0
11	SUN	DAY (NOT NIGHT)	-1	1	6	8	10	5
12	MOON	MONTH	0	1	5	5	71	0
13	RAINBOW	BOW	-1	-1	0	5	0	3
14	SHADE	GHOST	1	1	4	2	2	0
15	WEATHER	TIME	-1	-1	0	4	0	3
16	GLASS	MIRROR	1	1	4	2	3	2
17	FIRE	HELL	1	1	15	0	2	0
18	WOMAN	WIFE	1	1	10	9	5	3
19	MALE (OF ANIMAL)	FATHER	-1	-1	0	5	0	4
20	HUSBAND	OLD MAN	1	-1	8	2	0	15
21	HUSBAND	MARRY	1	-1	12	3	0	3
22	MARRY	TAKE	-1	-1	0	8	0	2
23	FATHER	PARENTS	1	1	21	0	3	0
24	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	16	0	2	0
25	MOTHER	OLD WOMAN	1	1	6	0	2	0
26	GRANDFATHER	OLD MAN	1	1	4	3	4	0
27	GRANDFATHER	ANCESTORS	1	1	17	2	5	0
28	GRANDMOTHER	OLD WOMAN	-1	1	7	8	3	0
29	FAMILY	HOUSE	-1	-1	0	12	0	3
30	FIN	WING	-1	-1	5	12	0	4
31	BACK	BEHIND	1	1	12	2	2	0
32	HEAD	MIND	1	1	6	0	4	0
33	HEART	MIND	1	1	4	3	4	0
34	INTESTINES	SAUSAGE	1	1	6	3	3	0
35	BUTTOCKS	BOTTOM	-1	-1	0	4	1	2
36	PREGNANT	HEAVY	-1	-1	0	4	0	6
37	SEEM	SEE	-1	-1	0	4	0	2
38	FEVER	HOT	-1	-1	3	9	0	3
39	BRUISE	BLUE	-1	-1	0	5	0	3
40	UNRIPE	GREEN	1	-1	4	3	0	6
41	POTATO	SWEET POTATO	-1	-1	4	6	0	2
42	DWELL (LIVE, RESIDE)	SIT	1	-1	4	2	0	6
43	SILVER	MONEY	-1	1	3	7	17	6
44	THROW	SHOOT	1	1	4	0	6	0
45	LEAD (GUIDE)	RULE	1	1	4	0	3	0
46	FIND	SEE	-1	-1	0	6	0	5
47	AFTER	BEHIND	0	-1	9	9	0	2
48	BIG	THICK	1	-1	4	0	1	2
49	SMALL	YOUNG	1	1	4	2	3	0
50	LONG	FOR A LONG TIME	1	1	10	0	2	0
51	STRAIGHT	CORRECT (RIGHT)	1	1	4	3	5	0
52	EARLY	MORNING	-1	1	8	10	2	1
53	MORNING	TOMORROW	-1	1	4	5	4	0
54	YEAR	SUMMER	1	-1	5	0	1	3
55	HOUR	CLOCK	-1	1	5	6	4	0
56	WEEK	SUNDAY	1	-1	11	2	0	6
57	LOVE	WANT	-1	1	3	5	3	1
58	GOOD	BEAUTIFUL	1	-1	20	3	0	4
59	READ	SING	1	-1	4	0	0	4
60	READ	SPEAK	-1	1	0	10	2	0
61	SPEECH	WORD	-1	-1	2	10	0	8
62	PAPER	BOOK	1	1	8	0	3	0
