Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	EGG	TESTICLES	1	1	1	0	8	0
2	FOAM	LUNG	1	1	3	0	2	0
3	MILKY WAY	ROAD	-1	-1	0	3	0	1
4	SPECTACLES	MIRROR	-1	-1	0	7	0	4
5	HEART	LUNG	1	1	2	0	1	0
6	LIVER	LUNG	1	1	8	3	3	0
7	EARTH (SOIL)	POTATO	1	1	1	0	1	0
8	NOSE	NOSTRIL	1	1	2	0	4	0
9	SEA	SALT	-1	-1	0	1	0	2
10	SKY	WEATHER	1	1	1	0	2	0
11	SUN	DAY (NOT NIGHT)	-1	1	5	24	10	5
12	SUN	SUNDAY	1	1	4	0	3	0
13	MOON	MONTH	1	1	6	0	71	0
14	WIND	AIR	1	1	1	0	1	0
15	RAINBOW	BOW	-1	-1	0	1	0	3
16	WOMAN	WIFE	1	1	1	0	5	3
17	WIFE	OLD WOMAN	-1	-1	0	1	0	4
18	WIFE	QUEEN	1	-1	1	0	0	1
19	BOY	SMALL	-1	-1	0	1	0	1
20	GIRL	DAUGHTER	-1	-1	0	1	0	1
21	HUSBAND	FATHER	-1	-1	0	2	0	1
22	HUSBAND	OLD MAN	-1	-1	0	1	0	15
23	HUSBAND	MARRY	-1	-1	1	2	0	3
24	FATHER	PARENTS	1	1	6	0	3	0
25	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	3	0	2	0
26	FATHER	ANCESTORS	1	1	5	0	8	0
27	FATHER	BIG	1	1	1	0	1	0
28	GRANDFATHER	OLD MAN	1	1	1	0	4	0
29	GRANDFATHER	ANCESTORS	1	1	1	0	5	0
30	FAMILY	HOUSE	-1	-1	0	1	0	3
31	FIN	WING	-1	-1	0	1	0	4
32	WORM	SNAKE	1	1	1	0	1	0
33	FROG	TURTLE	1	1	4	1	1	0
34	BEARD	CHIN	-1	0	0	1	1	1
35	TAIL	END (OF SPACE)	1	1	1	0	2	1
36	BACK	BEHIND	1	1	1	0	2	0
37	EYE	SUN	1	1	2	0	1	0
38	MOUTH	HOLE	1	1	1	0	7	0
39	HEART	BRAVE	1	1	4	0	2	0
40	HEART	LIVER	-1	1	0	2	1	0
41	HEART	STOMACH	-1	1	0	1	2	0
42	LUNG	LIGHT (WEIGHT)	-1	-1	0	7	0	1
43	LIVER	STOMACH	-1	1	0	1	1	0
44	INTESTINES	SAUSAGE	1	1	1	0	3	0
45	TESTICLES	FRUIT	-1	-1	0	1	0	1
46	SLEEP	COPULATE	1	1	1	0	3	0
47	PREGNANT	HEAVY	-1	-1	0	3	0	6
48	PREGNANT	CARRY	-1	-1	0	2	0	3
49	SEIZE	UNDERSTAND	1	1	2	0	7	0
50	SEEM	SEE	-1	-1	0	1	0	2
51	FEVER	HOT	-1	-1	0	2	0	3
52	BRUISE	BLUE	-1	-1	0	2	0	3
53	BALD	NAKED	-1	-1	0	1	0	1
54	MIX	DOUGH	1	1	1	0	1	0
55	POTATO	SWEET POTATO	-1	-1	0	4	0	2
56	BELT	RAINBOW	1	1	3	0	1	0
57	DWELL (LIVE, RESIDE)	STAND	-1	-1	0	1	0	1
58	HOUSE	WIFE	1	1	2	0	2	0
59	HOUSE	HUSBAND	1	1	2	0	1	0
60	ARCH	RAINBOW	1	1	1	0	1	0
61	PLANT (VEGETATION)	GREEN	-1	-1	1	2	0	4
62	SELL	GIVE	-1	-1	0	2	0	1
63	GOLD	MONEY	-1	1	0	3	3	0
64	GOLD	YELLOW	-1	0	0	7	1	1
65	SILVER	MONEY	-1	1	2	6	17	6
66	PAINTING	THROW	-1	-1	0	1	0	1
67	JUMP	DANCE	1	1	3	0	4	0
68	GO	COPULATE	1	1	1	0	1	0
69	GO	FIND	1	1	1	0	1	0
70	ROAD	MANNER	1	1	2	0	4	0
71	THING	WANT	-1	-1	0	1	0	1
72	MARKET	SUNDAY	1	1	1	0	3	1
73	FAR	LONG	-1	-1	0	1	0	1
74	LONG	FOR A LONG TIME	-1	1	0	1	2	0
75	EARLY	MORNING	1	1	1	0	2	1
76	MORNING	TOMORROW	1	1	5	2	4	0
77	TOMORROW	YESTERDAY	1	-1	1	0	0	2
78	HOUR	CLOCK	1	1	2	0	4	0
79	WEEK	SUNDAY	0	-1	1	1	0	6
80	WEEK	FRIDAY	-1	-1	0	1	0	1
81	SEE	MEET	1	1	1	0	3	0
82	SEE	GUARD	1	1	1	0	1	0
83	WHITE	WHEAT	1	1	1	0	1	0
84	WHITE	SILVER	1	1	4	0	1	0
85	BLACK	PRIEST	1	1	2	0	1	0
86	PINCH	STEAL	1	1	1	0	1	0
87	GOOD	CHOOSE	-1	-1	0	1	0	1
88	GOOD	BEAUTIFUL	1	-1	2	0	0	4
89	STUPID	EASY	-1	-1	0	1	0	1
90	CAUSE	LEAD (GUIDE)	-1	-1	0	1	0	3
91	SING	ROOSTER	1	1	2	0	1	0
92	SHIELD	TURTLE	1	1	2	0	1	0
93	ANIMAL	BASTARD	1	1	2	0	2	0
94	ANIMAL	COWARD	1	1	1	0	1	0
95	ANIMAL	CLOUD	1	1	3	0	1	0
96	ANIMAL	FOOL	1	1	2	0	5	0
97	ANGRY	HOT	-1	-1	0	1	0	4
98	APPLE	POTATO	1	1	2	0	2	0
99	ARROW	LIGHTNING	1	1	1	0	1	0
