Number	ConceptA	ConceptB	DirA	DirB	LinksAAB	LinksABA	LinksBAB	LinksBBA
1	EGG	TESTICLES	1	1	1	0	8	0
2	FOAM	LUNG	1	1	3	0	2	0
3	SPECTACLES	MIRROR	-1	-1	0	7	0	4
4	LIVER	LUNG	1	1	8	3	3	0
5	NOSE	NOSTRIL	1	1	2	0	4	0
6	SEA	SALT	-1	-1	0	1	0	2
7	SKY	WEATHER	1	1	1	0	2	0
8	SUN	DAY (NOT NIGHT)	-1	1	5	24	10	5
9	SUN	SUNDAY	1	1	4	0	3	0
10	MOON	MONTH	1	1	6	0	71	0
11	RAINBOW	BOW	-1	-1	0	1	0	3
12	WOMAN	WIFE	1	1	1	0	5	3
13	WIFE	OLD WOMAN	-1	-1	0	1	0	4
14	HUSBAND	OLD MAN	-1	-1	0	1	0	15
15	HUSBAND	MARRY	-1	-1	1	2	0	3
16	FATHER	PARENTS	1	1	6	0	3	0
17	FATHER	PATERNAL UNCLE (FATHER'S BROTHER)	1	1	3	0	2	0
18	FATHER	ANCESTORS	1	1	5	0	8	0
19	GRANDFATHER	OLD MAN	1	1	1	0	4	0
20	GRANDFATHER	ANCESTORS	1	1	1	0	5	0
21	FAMILY	HOUSE	-1	-1	0	1	0	3
22	FIN	WING	-1	-1	0	1	0	4
23	TAIL	END (OF SPACE)	1	1	1	0	2	1
24	BACK	BEHIND	1	1	1	0	2	0
25	MOUTH	HOLE	1	1	1	0	7	0
26	HEART	BRAVE	1	1	4	0	2	0
27	HEART	STOMACH	-1	1	0	1	2	0
28	INTESTINES	SAUSAGE	1	1	1	0	3	0
29	SLEEP	COPULATE	1	1	1	0	3	0
30	PREGNANT	HEAVY	-1	-1	0	3	0	6
31	PREGNANT	CARRY	-1	-1	0	2	0	3
32	SEIZE	UNDERSTAND	1	1	2	0	7	0
33	SEEM	SEE	-1	-1	0	1	0	2
34	FEVER	HOT	-1	-1	0	2	0	3
35	BRUISE	BLUE	-1	-1	0	2	0	3
36	POTATO	SWEET POTATO	-1	-1	0	4	0	2
37	HOUSE	WIFE	1	1	2	0	2	0
38	PLANT (VEGETATION)	GREEN	-1	-1	1	2	0	4
39	GOLD	MONEY	-1	1	0	3	3	0
40	SILVER	MONEY	-1	1	2	6	17	6
41	JUMP	DANCE	1	1	3	0	4	0
42	ROAD	MANNER	1	1	2	0	4	0
43	MARKET	SUNDAY	1	1	1	0	3	1
44	LONG	FOR A LONG TIME	-1	1	0	1	2	0
45	EARLY	MORNING	1	1	1	0	2	1
46	MORNING	TOMORROW	1	1	5	2	4	0
47	TOMORROW	YESTERDAY	1	-1	1	0	0	2
48	HOUR	CLOCK	1	1	2	0	4	0
49	WEEK	SUNDAY	0	-1	1	1	0	6
50	SEE	MEET	1	1	1	0	3	0
51	GOOD	BEAUTIFUL	1	-1	2	0	0	4
52	CAUSE	LEAD (GUIDE)	-1	-1	0	1	0	3
53	ANIMAL	BASTARD	1	1	2	0	2	0
54	ANIMAL	FOOL	1	1	2	0	5	0
55	ANGRY	HOT	-1	-1	0	1	0	4
56	APPLE	POTATO	1	1	2	0	2	0
57	ASH	GREY	1	1	4	0	2	0
58	BIRD	CHATTERER	-1	1	0	1	3	1
59	BAD OR EVIL	LOW	-1	-1	0	2	0	3
60	BAD PERSON	PIG	-1	-1	0	1	0	3
61	BED	RIVER BED	1	1	1	0	2	0
62	BELLY	PREGNANT	1	1	2	0	3	0
63	BLACK	BAD	1	1	1	0	3	0
64	BONE	STONE (OF FRUIT)	1	1	1	0	4	0
65	BOSS	HEAD	-1	-1	0	1	0	7
66	BOSS	OLD (AGED)	-1	-1	0	1	0	2
67	BOTTLE	GLASS	-1	-1	0	1	1	2
68	BOY	SERVANT	1	1	2	0	5	0
69	BRIDE	DAUGHTER-IN-LAW	-1	1	1	2	2	0
70	CHAPTER	HEAD	-1	-1	0	2	0	2
71	CHILD	SMALL	-1	-1	0	6	0	11
72	COCK	ROOSTER	-1	-1	0	1	0	3
73	COURAGE	LIVER	-1	-1	0	2	0	4
74	CUNNING PERSON	FOX	0	-1	1	1	0	3
75	CUNNING	DEVIL	1	-1	1	0	1	3
76	DEAF	STUPID	1	1	1	0	3	0
77	DOG	PROSTITUTE	1	1	1	0	2	0
78	DOG	DOG-ROSE	1	1	1	0	2	0
79	EGG	POTATO	1	1	1	0	2	0
80	ENEMY	WAR	1	1	1	0	2	0
81	FACE	SURFACE	1	1	1	0	3	0
82	FATHER	FATHER-IN-LAW	1	1	3	0	4	0
83	DREADFUL	VERY	1	1	1	0	3	0
84	FIRE	ELECTRICITY	1	1	2	0	4	0
85	FRESH (OF WATER)	SWEET	-1	-1	0	1	0	4
86	GENITALIA	SHAME	-1	-1	0	2	0	4
87	GIRL	PUPIL	1	1	2	0	2	0
88	GLASS	SPECTACLES	1	1	7	0	5	0
89	GREEN	YOUNG	1	1	1	0	4	0
90	ARM OR HAND	HANDLE	1	1	2	0	2	0
91	HEAD	SPIKE	1	1	1	0	3	0
92	HEART	COURAGE	1	1	1	0	2	0
93	HEAVY	IMPORTANT	1	1	1	0	3	0
94	HONEST	STRAIGHT	-1	-1	0	2	0	5
95	HOUSE	GRAVE	1	1	1	0	2	0
96	HUSBAND	OWNER	-1	-1	0	2	0	10
97	LEAD (CHEMICAL ELEMENT)	PENCIL	1	1	4	0	3	0
