Number	Source	Source_ID	Source_Con	Target	Target_ID	Target_Con	Polysemies	OvertMarkings
7	smoke	778		dust	2	4.40	8	4
7	smoke	778		fog/mist	249	4.66	10	3
7	smoke	778		steam	1193	4.50	31	3
70	needle	1382	4.93	bone	1394	4.90	2	2
71	tooth	1380	4.89	beak	73	4.96	9	0
72	dew	1977	4.38	fog/mist	249	4.66	9	0
73	soil/earth	1228	4.87	dust	2	4.40	15	0
74	pen	794	4.92	feather	1201	4.90	3	3
75	feather	1201	4.90	beard	678	4.96	2	0
75	feather	1201	4.90	pen	794	4.92	3	0
76	beard	678	4.96	feather	1201	4.90	2	10
77	meteoroid	2288		star	1430	4.69	3	28
78	star	1430	4.69	meteoroid	2288		3	0
78	star	1430	4.69	moon	1313	4.90	2	5
79	valley	921	4.72	mountain	639	4.96	2	3
8	steam	1193	4.50	fog/mist	249	4.66	9	2
8	steam	1193	4.50	smoke	778		31	3
80	mountain	639	4.96	valley	921	4.72	2	0
81	puddle	2290	4.67	swamp	1145	4.96	7	0
82	rain	658		cloud	1489		4	2
82	rain	658		sky	1732	4.45	3	2
83	sky	1732	4.45	cloud	1489		8	2
83	sky	1732	4.45	rain	658		3	0
84	spring	1537		river/stream	3311	4.89	12	2
85	river bed	993		river/stream	3311	4.89	5	13
86	brain	1583	4.69	pus	1808	4.52	2	4
87	pus	1808	4.52	brain	1583	4.69	2	0
88	eyelash	1540	5.00	eyebrow	1173	4.85	26	3
88	eyelash	1540	5.00	eyelid	17	5.00	9	5
89	eyebrow	1173	4.85	eyelash	1540	5.00	26	0
9	animal	619	4.61	bird	937	5.00	8	8
90	eyelid	17	5.00	eyelash	1540	5.00	9	0
91	finger	1303	5.00	fingernail	1258	4.93	3	7
92	fingernail	1258	4.93	finger	1303	5.00	3	0
93	pupil	753	4.92	eyeball	3807	4.92	6	3
94	eyeball	3807	4.92	pupil	753	4.92	6	0
95	coal	2658	4.66	embers	67		23	2
96	chin	1510	4.89	jaw	798	4.87	44	3
97	stomach	819		guts	1334	3.85	13	2
98	guts	1334	3.85	stomach	819		13	6
99	tendon	1137	4.47	vein	1924	4.63	51	3
